iter	Passed	Remaining
805	3208	4752
806	3211	4748
807	3216	4744
808	3221	4742
809	3224	4737
810	3228	4733
811	3233	4730
812	3237	4727
813	3240	4722
814	3245	4718
815	3249	4715
816	3253	4711
817	3257	4707
818	3261	4703
819	3266	4700
820	3269	4695
821	3274	4691
822	3277	4686
823	3281	4682
824	3285	4678
825	3288	4674
826	3292	4669
827	3295	4665
828	3300	4661
829	3304	4657
830	3307	4652
831	3311	4648
832	3314	4644
833	3318	4639
834	3322	4635
835	3326	4631
836	3330	4627
837	3334	4623
838	3338	4619
839	3342	4615
840	3345	4610
841	3350	4607
842	3354	4604
843	3359	4601
844	3363	4597
845	3368	4595
846	3373	4591
847	3376	4587
848	3380	4582
849	3386	4581
850	3389	4576
851	3393	4572
852	3397	4568
853	3401	4565
854	3406	4561
855	3410	4557
856	3414	4554
857	3418	4549
858	3422	4545
859	3426	4541
860	3430	4537
861	3433	4532
862	3438	4530
863	3441	4525
864	3445	4521
865	3450	4517
866	3454	4514
867	3458	4510
868	3462	4507
869	3466	4502
870	3470	4498
871	3474	4494
872	3478	4490
873	3482	4486
874	3485	4481
875	3489	4477
876	3493	4473
877	3498	4470
878	3501	4464
879	3504	4460
880	3507	4455
881	3512	4451
882	3516	4448
883	3520	4444
884	3524	4440
885	3529	4437
886	3533	4433
887	3538	4431
888	3542	4427
889	3547	4424
890	3552	4421
891	3555	4416
892	3559	4412
893	3564	4409
894	3567	4404
895	3571	4400
896	3575	4396
897	3580	4394
898	3584	4389
899	3588	4385
900	3591	4381
901	3595	4376
902	3598	4372
903	3602	4367
904	3606	4363
905	3609	4359
906	3613	4354
907	3617	4350
908	3621	4346
909	3625	4342
910	3629	4338
911	3633	4334
912	3637	4330
913	3641	4326
914	3645	4322
915	3649	4318
916	3653	4314
917	3657	4310
918	3661	4307
919	3665	4303
920	3669	4299
921	3673	4295
922	3677	4290
923	3681	4287
924	3685	4283
925	3688	4278
926	3693	4274
927	3696	4270
928	3700	4266
929	3704	4261
930	3707	4257
931	3712	4253
932	3717	4250
933	3720	4246
934	3724	4242
935	3728	4238
936	3732	4234
937	3738	4233
938	3742	4229
939	3745	4224
940	3751	4221
941	3755	4217
942	3759	4213
943	3763	4210
944	3768	4206
945	3771	4202
946	3775	4198
947	3780	4195
948	3784	4190
949	3788	4187
950	3792	4183
951	3796	4179
952	3801	4175
953	3805	4172
954	3809	4168
955	3813	4164
956	3817	4160
957	3820	4155
958	3824	4151
959	3828	4147
960	3832	4143
961	3836	4139
962	3840	4135
963	3843	4130
964	3847	4126
965	3852	4123
966	3856	4119
967	3859	4114
968	3863	4110
969	3867	4106
970	3871	4102
971	3875	4098
972	3879	4094
973	3882	4090
974	3886	4086
975	3890	4081
976	3893	4077
977	3898	4073
978	3901	4069
979	3905	4064
980	3909	4060
981	3913	4057
982	3918	4053
983	3922	4049
984	3926	4045
985	3929	4041
986	3933	4037
987	3937	4033
988	3940	4028
989	3945	4024
990	3948	4020
991	3952	4016
992	3957	4012
993	3961	4009
994	3965	4005
995	3969	4000
996	3972	3996
997	3976	3992
998	3979	3987
999	3983	3983
1000	3986	3978
1001	3990	3974
1002	3993	3969
1003	3997	3965
1004	4000	3960
1005	4004	3956
1006	4007	3951
1007	4011	3948
1008	4015	3944
1009	4019	3940
1010	4023	3936
1011	4028	3933
1012	4033	3929
1013	4036	3925
1014	4041	3921
1015	4045	3918
1016	4050	3915
1017	4053	3910
1018	4057	3906
1019	4061	3901
1020	4065	3898
1021	4069	3893
1022	4072	3889
1023	4077	3886
1024	4081	3882
1025	4085	3878
1026	4089	3874
1027	4094	3871
1028	4106	3874
1029	4111	3872
1030	4116	3869
1031	4122	3866
1032	4126	3862
1033	4130	3858
1034	4135	3855
1035	4139	3852
1036	4144	3848
1037	4149	3845
1038	4154	3842
1039	4159	3839
1040	4163	3835
1041	4167	3831
1042	4171	3827
1043	4176	3824
1044	4180	3820
1045	4183	3815
1046	4189	3813
1047	4193	3809
1048	4197	3805
1049	4202	3801
1050	4206	3798
1051	4210	3794
1052	4214	3789
1053	4218	3786
1054	4223	3783
1055	4227	3779
1056	4232	3775
1057	4235	3771
1058	4239	3767
1059	4244	3763
1060	4250	3761
1061	4258	3760
1062	4263	3758
1063	4269	3755
1064	4274	3752
1065	4278	3748
1066	4283	3745
1067	4287	3741
1068	4291	3737
1069	4295	3733
1070	4299	3729
1071	4303	3725
1072	4307	3721
1073	4312	3718
1074	4316	3714
1075	4320	3709
1076	4323	3705
1077	4327	3701
1078	4331	3697
1079	4336	3693
1080	4341	3690
1081	4345	3686
1082	4349	3682
1083	4352	3677
1084	4356	3673
1085	4360	3669
1086	4363	3665
1087	4367	3661
1088	4371	3657
1089	4375	3653
1090	4378	3648
1091	4382	3644
1092	4386	3639
1093	4389	3635
1094	4392	3630
1095	4396	3626
1096	4400	3621
1097	4404	3618
1098	4411	3616
1099	4415	3612
1100	4418	3607
1101	4422	3603
1102	4426	3600
1103	4433	3597
1104	4438	3594
1105	4442	3590
1106	4447	3587
1107	4452	3584
1108	4456	3580
1109	4462	3577
1110	4467	3574
1111	4472	3571
1112	4477	3568
1113	4481	3564
1114	4486	3561
1115	4491	3557
1116	4495	3553
1117	4499	3549
1118	4504	3546
1119	4508	3542
1120	4512	3538
1121	4515	3533
1122	4520	3530
1123	4524	3526
1124	4528	3522
1125	4532	3518
1126	4536	3514
1127	4540	3509
1128	4544	3505
1129	4548	3502
1130	4551	3497
1131	4556	3494
1132	4560	3489
1133	4563	3485
1134	4567	3481
1135	4571	3476
1136	4574	3472
1137	4579	3468
1138	4583	3464
1139	4586	3460
1140	4590	3455
1141	4594	3452
1142	4599	3448
1143	4603	3444
1144	4607	3440
1145	4612	3437
1146	4616	3433
1147	4619	3428
1148	4624	3425
1149	4628	3420
1150	4632	3417
1151	4637	3413
1152	4641	3409
1153	4646	3406
1154	4652	3403
1155	4656	3399
1156	4660	3395
1157	4664	3391
1158	4669	3388
1159	4673	3384
1160	4678	3381
1161	4682	3377
1162	4686	3372
1163	4690	3368
1164	4693	3364
1165	4697	3359
1166	4700	3355
1167	4705	3351
1168	4710	3348
1169	4714	3344
1170	4718	3340
1171	4723	3337
1172	4727	3333
1173	4732	3329
1174	4737	3326
1175	4740	3321
1176	4745	3317
1177	4749	3314
1178	4753	3310
1179	4760	3307
1180	4765	3304
1181	4770	3301
1182	4774	3297
1183	4779	3293
1184	4782	3289
1185	4788	3286
1186	4792	3282
1187	4797	3278
1188	4801	3274
1189	4805	3270
1190	4808	3266
1191	4813	3262
1192	4816	3258
1193	4819	3253
1194	4823	3249
1195	4828	3245
1196	4831	3241
1197	4834	3236
1198	4839	3232
1199	4842	3228
1200	4846	3224
1201	4851	3220
1202	4854	3216
1203	4857	3211
1204	4861	3207
1205	4865	3203
1206	4869	3199
1207	4872	3194
1208	4876	3190
1209	4880	3186
1210	4885	3183
1211	4889	3179
1212	4894	3175
1213	4898	3171
1214	4902	3167
1215	4905	3163
1216	4909	3158
1217	4913	3154
1218	4916	3149
1219	4918	3144
1220	4922	3140
1221	4926	3136
1222	4929	3132
1223	4933	3127
1224	4936	3123
1225	4940	3118
1226	4943	3114
1227	4947	3110
1228	4952	3107
1229	4957	3103
1230	4960	3098
1231	4964	3094
1232	4967	3090
1233	4971	3086
1234	4975	3081
1235	4979	3077
1236	4982	3073
1237	4986	3069
1238	4990	3065
1239	4994	3061
1240	4998	3057
1241	5002	3053
1242	5006	3048
1243	5010	3044
1244	5013	3040
1245	5017	3036
1246	5022	3032
1247	5026	3028
1248	5030	3024
1249	5035	3021
1250	5039	3017
1251	5042	3012
1252	5047	3009
1253	5051	3005
1254	5055	3000
1255	5058	2996
1256	5061	2991
1257	5066	2988
1258	5070	2984
1259	5075	2980
1260	5079	2976
1261	5083	2972
1262	5087	2968
1263	5091	2964
1264	5095	2960
1265	5100	2956
1266	5103	2952
1267	5107	2948
1268	5111	2944
1269	5115	2940
1270	5119	2936
1271	5122	2932
1272	5128	2928
1273	5131	2924
1274	5135	2920
1275	5140	2916
1276	5144	2912
1277	5148	2908
1278	5153	2904
1279	5157	2901
1280	5162	2897
1281	5165	2893
1282	5169	2889
1283	5173	2884
1284	5177	2880
1285	5182	2877
1286	5186	2873
1287	5190	2869
1288	5195	2865
1289	5199	2861
1290	5203	2857
1291	5207	2853
1292	5211	2849
1293	5215	2845
1294	5219	2841
1295	5224	2838
1296	5228	2833
1297	5231	2829
1298	5235	2825
1299	5240	2821
1300	5244	2817
1301	5248	2813
1302	5251	2809
1303	5254	2804
1304	5258	2800
1305	5263	2797
1306	5267	2792
1307	5270	2788
1308	5274	2784
1309	5279	2780
1310	5283	2776
1311	5287	2772
1312	5291	2768
1313	5295	2764
1314	5299	2760
1315	5303	2756
1316	5307	2752
1317	5311	2748
1318	5315	2744
1319	5319	2740
1320	5323	2736
1321	5327	2732
1322	5330	2727
1323	5333	2723
1324	5337	2719
1325	5341	2715
1326	5347	2711
1327	5351	2707
1328	5354	2703
1329	5358	2699
1330	5362	2695
1331	5366	2691
1332	5369	2686
1333	5373	2682
1334	5377	2678
1335	5381	2674
1336	5385	2670
1337	5388	2666
1338	5392	2662
1339	5396	2657
1340	5400	2653
1341	5404	2649
1342	5408	2646
1343	5413	2642
1344	5417	2638
1345	5421	2634
1346	5426	2630
1347	5430	2626
1348	5435	2622
1349	5438	2618
1350	5443	2615
1351	5447	2610
1352	5450	2606
1353	5454	2602
1354	5458	2598
1355	5461	2593
1356	5465	2589
1357	5468	2585
1358	5473	2581
1359	5477	2577
1360	5480	2573
1361	5485	2569
1362	5488	2565
1363	5492	2560
1364	5496	2556
1365	5500	2553
1366	5504	2548
1367	5507	2544
1368	5510	2539
1369	5515	2536
1370	5519	2532
1371	5522	2527
1372	5526	2523
1373	5529	2519
1374	5533	2515
1375	5538	2511
1376	5543	2508
1377	5553	2506
1378	5557	2502
1379	5560	2498
1380	5564	2494
1381	5569	2490
1382	5573	2486
1383	5578	2482
1384	5582	2478
1385	5587	2475
1386	5591	2471
1387	5595	2467
1388	5599	2463
1389	5603	2459
1390	5607	2455
1391	5611	2451
1392	5616	2447
1393	5619	2443
1394	5623	2438
1395	5628	2435
1396	5632	2430
1397	5635	2426
1398	5639	2422
1399	5643	2418
1400	5647	2414
1401	5651	2410
1402	5656	2406
1403	5660	2402
1404	5664	2398
1405	5668	2394
1406	5673	2391
1407	5676	2386
1408	5680	2382
1409	5684	2378
1410	5688	2374
1411	5693	2370
1412	5697	2366
1413	5701	2362
1414	5705	2358
1415	5709	2354
1416	5713	2350
1417	5716	2346
1418	5719	2341
1419	5722	2337
1420	5726	2333
1421	5731	2329
1422	5737	2326
1423	5748	2325
